Package                                  Version
---------------------------------------- ------------
a2a-sdk                                  0.3.21
accelerate                               1.12.0
ag-ui-protocol                           0.1.13
agentscope                               1.0.18
agentscope-runtime                       1.1.3
aiofile                                  3.9.0
aiofiles                                 24.1.0
aiohappyeyeballs                         2.6.1
aiohttp                                  3.13.2
aiohttp-retry                            2.9.1
aiohttp_socks                            0.11.0
aioitertools                             0.13.0
aiomysql                                 0.3.2
aiosignal                                1.4.0
aiosqlite                                0.22.0
alembic                                  1.17.2
aliyun-python-sdk-core                   2.16.0
aliyun-python-sdk-kms                    2.16.5
amqp                                     5.3.1
annotated-doc                            0.0.4
annotated-types                          0.7.0
anthropic                                0.75.0
antlr4-python3-runtime                   4.9.3
anyio                                    4.12.0
APScheduler                              3.11.2
ascii_colors                             0.11.6
asgiref                                  3.11.0
asttokens                                3.0.1
async-timeout                            5.0.1
asyncpg                                  0.31.0
attrs                                    25.4.0
Authlib                                  1.6.6
backoff                                  2.2.1
backports.asyncio.runner                 1.2.0
backports.tarfile                        1.2.0
bcrypt                                   4.0.1
beartype                                 0.22.9
beautifulsoup4                           4.14.3
bidict                                   0.23.1
billiard                                 4.2.4
bottle                                   0.13.4
build                                    1.4.0
cached-property                          2.0.1
cachetools                               6.2.3
caio                                     0.9.25
celery                                   5.6.0
certifi                                  2025.11.12
cffi                                     2.0.0
chardet                                  5.2.0
charset-normalizer                       3.4.4
chromadb                                 1.5.2
click                                    8.2.1
click-didyoumean                         0.3.1
click-plugins                            1.1.1.2
click-repl                               0.3.0
clr_loader                               0.2.10
colorama                                 0.4.6
coloredlogs                              15.0.1
configparser                             7.2.0
contourpy                                1.3.2
crcmod                                   1.7
cryptography                             46.0.3
cycler                                   0.12.1
cyclopts                                 4.6.0
dashscope                                1.25.7
dataclasses-json                         0.6.7
decorator                                5.2.1
demjson3                                 3.0.6
Deprecated                               1.3.1
dingtalk-stream                          0.24.3
discord.py                               2.7.0
distro                                   1.9.0
dnspython                                2.8.0
docker                                   7.1.0
docstring_parser                         0.17.0
docutils                                 0.22.4
durationpy                               0.10
ecdsa                                    0.19.1
effdet                                   0.4.1
elastic-transport                        9.2.0
elasticsearch                            9.2.0
email-validator                          2.3.0
emoji                                    2.15.0
et_xmlfile                               2.0.0
exceptiongroup                           1.3.1
executing                                2.2.1
fastapi                                  0.124.4
fastapi-limiter                          0.1.6
fastmcp                                  3.0.2
fastuuid                                 0.14.0
filelock                                 3.20.0
filetype                                 1.2.0
flatbuffers                              25.12.19
flowllm                                  0.2.0.10
fonttools                                4.61.1
frozenlist                               1.8.0
fsspec                                   2025.12.0
future                                   1.0.0
gitdb                                    4.0.12
GitPython                                3.1.45
google-api-core                          2.28.1
google-auth                              2.49.1
google-cloud-vision                      3.11.0
google-genai                             1.68.0
googleapis-common-protos                 1.72.0
greenlet                                 3.3.0
grpcio                                   1.76.0
grpcio-status                            1.76.0
h11                                      0.16.0
h2                                       4.3.0
hpack                                    4.1.0
html5lib                                 1.1
httpcore                                 1.0.9
httptools                                0.7.1
httpx                                    0.28.1
httpx-sse                                0.4.3
huggingface-hub                          0.36.0
humanfriendly                            10.0
hyperframe                               6.1.0
idna                                     3.11
importlib_metadata                       8.7.0
importlib_resources                      6.5.2
iniconfig                                2.3.0
ipython                                  8.37.0
itsdangerous                             2.2.0
jaraco.classes                           3.4.0
jaraco.context                           6.1.0
jaraco.functools                         4.4.0
jedi                                     0.19.2
Jinja2                                   3.1.6
